filename,relpath,width,height,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,contrast,edge_density,hist_00,hist_01,hist_02,hist_03,hist_04,hist_05,hist_06,hist_07,hist_08,hist_09,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15
126.jpg,126.jpg,424.0,371.0,1.1428571428571428,0.9105251431465149,0.9109405875205994,0.9107978940010071,0.24378721415996552,0.24319612979888916,0.24340833723545074,0.9108419418334961,0.24333573877811432,0.11120772688356165,0.030901947990059853,0.009313177317380905,0.010686314664781094,0.01102959830313921,0.007386970333755016,0.004742409568279982,0.005657834466546774,0.006700401660054922,0.007272542454302311,0.006770330015569925,0.008296038024127483,0.005746833980083466,0.006865686737000942,0.010241316631436348,0.01170345302671194,0.8566851615905762
127.jpg,127.jpg,196.0,257.0,0.7626459143968871,0.9264230132102966,0.9156155586242676,0.9189335107803345,0.17588423192501068,0.1763800084590912,0.17710953950881958,0.918151319026947,0.17628708481788635,0.07793971319871232,0.0022036051377654076,0.00383149366825819,0.00623362185433507,0.009409989230334759,0.009171762503683567,0.010184229351580143,0.009687921963632107,0.00990629754960537,0.009330580942332745,0.009548955596983433,0.009648216888308525,0.009807035326957703,0.01022393349558115,0.012427539564669132,0.06168109178543091,0.816703736782074
128.jpg,128.jpg,2400.0,3600.0,0.6666666666666666,0.35978963971138,0.31473350524902344,0.27110692858695984,0.12908700108528137,0.14097289741039276,0.14513397216796875,0.32116231322288513,0.1380186527967453,0.101287841796875,0.00030173611594364047,0.0025681713595986366,0.04316794127225876,0.2886140048503876,0.29341503977775574,0.15977743268013,0.07673449069261551,0.06740671396255493,0.009515046142041683,0.00943171326071024,0.00844444427639246,0.009405439719557762,0.011634722352027893,0.010105208493769169,0.006529050879180431,0.002948842477053404
129.jpg,129.jpg,400.0,436.0,0.9174311926605505,0.9083142280578613,0.9083142280578613,0.9083142280578613,0.28858184814453125,0.28858184814453125,0.28858184814453125,0.9083141088485718,0.28858184814453125,0.09985439068100359,0.09168577939271927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9083142280578613
13.jpg,13.jpg,1280.0,720.0,1.7777777777777777,0.9266023635864258,0.9255692362785339,0.9188055992126465,0.13953304290771484,0.15149948000907898,0.14485931396484375,0.925301194190979,0.14559224247932434,0.11134958791208792,0.0009374999790452421,0.002993706613779068,0.004008246585726738,0.0041449652053415775,0.003752170130610466,0.0037467447109520435,0.004650607705116272,0.0060308161191642284,0.007929687388241291,0.011856554076075554,0.019480252638459206,0.021703559905290604,0.021708983927965164,0.07494249194860458,0.10602213442325592,0.706091582775116
14.jpg,14.jpg,864.0,1152.0,0.75,0.5952514410018921,0.5771628022193909,0.5645167231559753,0.0921056792140007,0.08991310000419617,0.08897385001182556,0.580095112323761,0.09017718583345413,0.02410190615835777,5.62628592888359e-05,0.00048124839668162167,0.0010448816465213895,0.0027398003730922937,0.007688922807574272,0.014002419076859951,0.032824356108903885,0.13025154173374176,0.23902170360088348,0.1575591117143631,0.4083799421787262,0.005931713152676821,1.6075102394097485e-05,2.0093877992621856e-06,0.0,0.0
15.jpg,15.jpg,635.0,386.0,1.645077720207254,0.9094010591506958,0.9037175178527832,0.919715404510498,0.20978407561779022,0.20780573785305023,0.20923775434494019,0.9060788750648499,0.208305224776268,0.08881383610451306,0.022251233458518982,0.009077557362616062,0.007290604058653116,0.006393047980964184,0.006356329657137394,0.006127860862761736,0.005944269709289074,0.005389417055994272,0.005442454479634762,0.005307821091264486,0.005752519238740206,0.006205377168953419,0.0068499855697155,0.008543103002011776,0.041972991079092026,0.85109543800354
16.jpg,16.jpg,304.0,166.0,1.8313253012048192,0.9099276065826416,0.9021933674812317,0.8948332071304321,0.1698613166809082,0.17237645387649536,0.1727520227432251,0.9033060669898987,0.1716717928647995,0.1390224358974359,0.0003170577110722661,0.002179771661758423,0.0011691502295434475,0.002853519283235073,0.004874762147665024,0.010423271916806698,0.015654724091291428,0.016645530238747597,0.02288760244846344,0.0260779969394207,0.02508719079196453,0.024571971967816353,0.03170577064156532,0.03323161229491234,0.06699825823307037,0.7153218388557434
17.jpg,17.jpg,1227.0,1600.0,0.766875,0.6998913884162903,0.6985440850257874,0.7018104195594788,0.10429121553897858,0.1068747267127037,0.10985102504491806,0.6990658640861511,0.1063569188117981,0.06342670795795796,0.002490321872755885,0.005102893337607384,0.0043286471627652645,0.0037617154885083437,0.003374083200469613,0.0033582926262170076,0.005144152324646711,0.006119600497186184,0.020083537325263023,0.14686328172683716,0.10075743496417999,0.36203697323799133,0.3293749988079071,0.006477689370512962,0.00037948248791508377,0.0003468826471362263
18.jpg,18.jpg,500.0,389.0,1.2853470437017995,0.92390376329422,0.9228172302246094,0.9232699275016785,0.21774937212467194,0.22074179351329803,0.2196619212627411,0.9230809211730957,0.21998359262943268,0.09833720722331486,0.0029717222787439823,0.01905912533402443,0.018133675679564476,0.009136246517300606,0.009552699513733387,0.008087403140962124,0.006215938366949558,0.007197943516075611,0.006632390897721052,0.004478149116039276,0.0048843189142644405,0.004622107837349176,0.00968637503683567,0.009290488436818123,0.012385603971779346,0.8676658272743225
19.jpg,19.jpg,640.0,644.0,0.9937888198757764,0.9274722933769226,0.9227187037467957,0.9463508725166321,0.107701875269413,0.1071629747748375,0.10883278399705887,0.9254326820373535,0.10738424956798553,0.0825176313229572,0.0,4.852484380535316e-06,5.0951086450368166e-05,0.0007205939618870616,0.0033773290924727917,0.0077518438920378685,0.008508831262588501,0.007169545628130436,0.006317934952676296,0.006104425527155399,0.006174786482006311,0.006017080973833799,0.006376164499670267,0.011966226622462273,0.18380968272686005,0.7456497550010681
2.jpg,2.jpg,720.0,1280.0,0.5625,0.5370882749557495,0.5319645404815674,0.5170803666114807,0.12552346289157867,0.13303178548812866,0.15110893547534943,0.5319802165031433,0.13192041218280792,0.056061126373626376,0.0017523871501907706,0.026759982109069824,0.018713107332587242,0.01587456651031971,0.025491535663604736,0.040898438543081284,0.041008029133081436,0.04877821356058121,0.20919162034988403,0.3849782943725586,0.1855154037475586,0.0004741753509733826,0.0002734375011641532,0.0001226128515554592,8.680555765749887e-05,8.138021075865254e-05
